# name	phase	tags	trigger	path
audit-reference-originality	2	motion,layout,copy,review,style,media	Audit a website or digital experience against its supplied source references for originality and plagiarism ri…	library/mengto/audit-reference-originality/SKILL.md
build-awwwards-quality-sites	2	motion,scroll,3d,a11y,perf,style,landing,media	Art-direct and implement distinctive, motion-rich marketing, editorial, portfolio, and landing websites with o…	library/mengto/build-awwwards-quality-sites/SKILL.md
design-first-ui-prompting	2	type,layout	Use when you need design-first, spec-driven, skimmable prompts for UI generation	library/mengto/design-first-ui-prompting/SKILL.md
generate-reference-inspired-brand-worlds	2	copy,style,media	Generate multiple original brand campaign worlds from a supplied visual reference while controlling how close …	library/mengto/generate-reference-inspired-brand-worlds/SKILL.md
html-to-interaction-prompts	2	motion,media	Convert a supplied HTML page or generated HTML reference into a screenshot-backed article containing multiple …	library/mengto/html-to-interaction-prompts/SKILL.md
ideagram	2	color,style,landing	Turn a concept, feature description, blog post, or pitch into a single beautiful, on-brand illustration by mat…	library/tastemaker/ideagram/SKILL.md
landing-page-design	2	motion,type,color,layout,copy,review,style,landing,system	Complete system for building high converting landing pages: intake questions, page structure, layout selection…	library/elaya/landing-page-design/SKILL.md
stitched-full-page-capture	2	motion,scroll,3d,copy,perf,media,effect	Capture or repair reliable full-page screenshots for lazy-loaded, scroll-animated, Framer, WebGL/canvas, or re…	library/mengto/stitched-full-page-capture/SKILL.md
tastemaker	2	review,style,landing,media	Generate genuinely beautiful, on-brand UI instead of generic "AI slop" — use whenever the user asks to build, …	library/tastemaker/tastemaker/SKILL.md
video-to-superprompt	2	motion,scroll,3d,type,color,media	Turn a reference video into a super detailed recreation or inspiration prompt	library/mengto/video-to-superprompt/SKILL.md
better-accessibility	4	motion,a11y,review	Accessibility engineering for product interfaces	library/jakubkrehel/better-accessibility/SKILL.md
better-colors	4	color,review,style,landing,system	Color systems for digital products	library/jakubkrehel/better-colors/SKILL.md
better-interface	4	review	- Cross-discipline interface review	library/jakubkrehel/better-interface/SKILL.md
better-layout	4	layout,review	Layout structure for web interfaces	library/jakubkrehel/better-layout/SKILL.md
better-typography	4	type,layout	Web typography	library/jakubkrehel/better-typography/SKILL.md
better-ui	4	motion,media	Design engineering principles for making interfaces feel polished	library/jakubkrehel/better-ui/SKILL.md
better-writing	4	copy,review	- UX writing and interface copy	library/jakubkrehel/better-writing/SKILL.md
break	4	media	Answers "does this survive?" for one component	library/jakubkrehel/break/SKILL.md
explain-interface	4	media	Answers "how was this built?" about an interface	library/jakubkrehel/explain-interface/SKILL.md
interface-review	4	review	- Interface review of a change rather than a screen: uncommitted work, the current branch, or a pull request	library/jakubkrehel/interface-review/SKILL.md
variant	4	misc	Answers "which of these?" rather than "is this right?"	library/jakubkrehel/variant/SKILL.md
animate	5	motion,review	Build an animation from scratch, making the decisions in the order that determines whether it feels right — sh…	library/emilkowalski/animate/SKILL.md
animation-systems	5	motion,scroll,a11y,perf	Use when designing or implementing product-grade web motion like Stripe, Linear, Apple, and Vercel	library/mengto/animation-systems/SKILL.md
animation-vocabulary	5	motion,scroll,system	Reverse-lookup glossary that turns a vague description of a web animation or motion effect into its exact term…	library/emilkowalski/animation-vocabulary/SKILL.md
apple-design	5	motion,type,review	Apple's approach to interface design and fluid, physical motion, translated for the web	library/emilkowalski/apple-design/SKILL.md
cinematic-gsap-lenis-motion-system	5	motion,scroll,style,effect	Create premium cinematic web motion systems with GSAP, ScrollTrigger, and Lenis	library/mengto/cinematic-gsap-lenis-motion-system/SKILL.md
cinematic-scroll-storytelling	5	motion,scroll,type,style,landing,effect	Create cinematic scroll-driven landing pages with Lenis smooth scrolling, GSAP ScrollTrigger, scroll-linked pr…	library/mengto/cinematic-scroll-storytelling/SKILL.md
emil-design-eng	5	motion	This skill encodes Emil Kowalski's philosophy on UI polish, component design, animation decisions, and the inv…	library/emilkowalski/emil-design-eng/SKILL.md
find-animation-opportunities	5	motion,review	Search a codebase or UI for places that don't animate but should, and reject everything that shouldn't	library/emilkowalski/find-animation-opportunities/SKILL.md
gsap	5	motion,scroll,perf	Use when you need to add or debug professional web animations with GSAP (timelines, ScrollTrigger, stagger, tr…	library/mengto/gsap/SKILL.md
improve-animations	5	motion,review,research	Survey a codebase's animation and motion code as a senior motion advisor, then produce a prioritized audit and…	library/emilkowalski/improve-animations/SKILL.md
masked-reveal	5	scroll,copy,style,landing,effect	Create masked staggered word reveals on scroll with GSAP ScrollTrigger	library/mengto/masked-reveal/SKILL.md
pick-ui-library	5	misc	Pick the right library for a given frontend task from a curated, opinionated list — numbers, OTP inputs, chart…	library/emilkowalski/pick-ui-library/SKILL.md
prototype	5	media	Build multiple genuinely different versions of a UI piece you describe, rendered behind a visual picker so you…	library/emilkowalski/prototype/SKILL.md
review-animations	5	motion,review	Reviews animation and motion code against a high craft bar derived from Emil Kowalski's design engineering phi…	library/emilkowalski/review-animations/SKILL.md
scroll-progress-timeline	5	motion,scroll,layout,copy	Turn any ordered process into a data-driven vertical or horizontal scroll story with a base line, progress fil…	library/mengto/scroll-progress-timeline/SKILL.md
